Date,Net_Worth,Regime,Confidence,Action,Agent_0_Act,Agent_1_Act,Agent_2_Act
2023-06-27,6583.31692882538,1,0.99,0.9906514942646026,1.0,1.0,-0.8697011470794678
2023-06-28,6596.048312248886,2,0.99,-0.98,1.0,1.0,-1.0
2023-06-29,6519.747214776113,2,0.99,-0.9770312184095382,1.0,1.0,-0.9970012307167053
2023-06-30,6499.587590779557,1,0.99,0.9910760879516601,1.0,1.0,-0.7847824096679688
2023-07-03,6490.003723426463,1,0.99,0.9902466267347336,1.0,1.0,-0.9506746530532837
2023-07-05,6439.677509148287,0,0.99,0.9901559004187583,1.0,1.0,-0.9688199162483215
2023-07-06,6423.57423321074,0,0.99,0.9907815760374069,1.0,1.0,-0.8436847925186157
2023-07-07,6439.679023846543,1,0.99,0.99,1.0,1.0,-1.0
2023-07-10,6467.593314893313,2,0.99,-0.98,1.0,1.0,-1.0
2023-07-11,6416.317786835525,2,0.99,-0.9370341283082961,1.0,1.0,-0.9566001296043396
2023-07-12,6368.322758929606,2,0.99,-0.98,1.0,1.0,-1.0
2023-07-13,6359.657659817768,1,0.99,0.9911549177765846,1.0,1.0,-0.769016444683075
2023-07-14,6381.538027158707,1,0.99,0.9901253095269203,1.0,1.0,-0.9749380946159363
2023-07-17,6415.915857435027,2,0.99,-0.98,1.0,1.0,-1.0
2023-07-18,6389.290207171842,1,0.99,0.9906580182909965,1.0,1.0,-0.8683963418006897
2023-07-19,6347.294871872983,0,0.99,0.9904268556833267,1.0,1.0,-0.9146288633346558
2023-07-20,6347.293597434528,1,0.99,0.9906276401877403,1.0,1.0,-0.8744719624519348
2023-07-21,6362.875700403839,2,0.99,-0.98,1.0,1.0,-1.0
2023-07-24,6333.313255316923,1,0.99,0.9908234253525734,1.0,1.0,-0.835314929485321
2023-07-25,6334.27519739938,1,0.99,0.9903914391994476,1.0,1.0,-0.9217121601104736
2023-07-26,6292.680840497842,0,0.99,0.99,1.0,1.0,-1.0
2023-07-27,6342.428099561754,2,0.99,-0.79670483648777,1.0,1.0,-0.8148533701896667
2023-07-28,6321.47160475589,1,0.99,0.9903193950653076,1.0,1.0,-0.9361209869384766
2023-07-31,6303.554783222665,0,0.99,0.99,1.0,1.0,-1.0
2023-08-01,6216.7423962544235,0,0.99,0.9902315172553062,1.0,1.0,-0.9536965489387512
2023-08-02,6199.096147971667,0,0.99,0.9908894738554954,1.0,1.0,-0.8221052289009094
2023-08-03,6171.309374637437,0,0.99,0.99,1.0,1.0,-1.0
2023-08-04,6213.814769143794,2,0.99,-0.7636055564880371,1.0,1.0,-0.7814197540283203
2023-08-07,6223.551844371873,0,0.99,0.9900578087568283,1.0,1.0,-0.9884382486343384
2023-08-08,6182.358725656852,0,0.99,0.9902111983299255,1.0,1.0,-0.9577603340148926
2023-08-09,6184.551897453601,1,0.99,0.990978575348854,1.0,1.0,-0.804284930229187
2023-08-10,6180.9774725774505,1,0.99,0.9910143446922303,1.0,1.0,-0.7971310615539551
2023-08-11,6202.60744348513,2,0.99,-0.98,1.0,1.0,-1.0
2023-08-14,6261.196522075004,0,0.99,0.9900637060403824,1.0,1.0,-0.987258791923523
2023-08-15,6215.69758123438,0,0.99,0.9916487050056457,1.0,1.0,-0.6702589988708496
2023-08-16,6168.724562797513,0,0.99,0.9907256534695625,1.0,1.0,-0.8548693060874939
2023-08-17,6171.6588548013515,1,0.99,0.991874194741249,1.0,1.0,-0.6251610517501831
2023-08-18,6199.406003692022,2,0.99,-0.9656299901008606,1.0,1.0,-0.9854848384857178
2023-08-21,6203.494202500452,0,0.99,0.9904107573628426,1.0,1.0,-0.917848527431488
2023-08-22,6260.059006080641,2,0.99,-0.9223311918973922,1.0,1.0,-0.9417486786842346
2023-08-23,6328.10626312367,0,0.99,0.9903175082802772,1.0,1.0,-0.9364983439445496
